"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Ye, H.; Sun, Y.; Gao, Y.; Xu, F.; Qi, J.","Ye, Hongjiang (59426083600); Sun, Ying (57201316858); Gao, Yu (58785964400); Xu, Feiyi (57190879502); Qi, Jing (36168452100)","59426083600; 57201316858; 58785964400; 57190879502; 36168452100","Heterogeneous Graph Transformer Auto-Encoder for multivariate time series forecasting","2025","Computers and Electrical Engineering","122","","109927","","","0","10.1016/j.compeleceng.2024.109927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211032415&doi=10.1016%2Fj.compeleceng.2024.109927&partnerID=40&md5=3b9eb92fcbe1b2005bf897a52d49c955","Article","Final","","Scopus","2-s2.0-85211032415"
"Zhang, S.; Che, T.; Zhu, Z.; Luo, G.; Feng, P.","Zhang, Siyi (58616321900); Che, Tong (59768481100); Zhu, Zhiliang (57213268188); Luo, Guoli (59767989100); Feng, Ping (59768809800)","58616321900; 59768481100; 57213268188; 59767989100; 59768809800","Forecasting of exchange rate time series based on event-aware transformer mode","2025","Soft Computing","29","6","106780","3035","3045","1","10.1007/s00500-025-10558-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004207052&doi=10.1007%2Fs00500-025-10558-3&partnerID=40&md5=797ae15b5c96c0034eb27ab94e57b349","Article","Final","","Scopus","2-s2.0-105004207052"
"Wang, B.; Liu, X.","Wang, Bo (58736699000); Liu, Xiaodong (55717309300)","58736699000; 55717309300","Fuzzy-Probabilistic Time Series Forecasting Combining Bayesian Network and Fuzzy Time Series Model","2025","Symmetry","17","2","275","","","1","10.3390/sym17020275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219045553&doi=10.3390%2Fsym17020275&partnerID=40&md5=e8bb6ce59b3609281ad15171f5d74015","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85219045553"
"Hou, M.; Liu, Z.; Sa, G.; Wang, Y.; Sun, J.; Li, Z.; Tan, J.","Hou, Mingjie (59183473400); Liu, Zhenyu (56228647300); Sa, Guodong (57205416899); Wang, Yueyang (56968260900); Sun, Jiacheng (58576920300); Li, Zhinan (59229219800); Tan, Jianrong (57216751403)","59183473400; 56228647300; 57205416899; 56968260900; 58576920300; 59229219800; 57216751403","Parallel multi-scale dynamic graph neural network for multivariate time series forecasting","2025","Pattern Recognition","158","","111037","","","10","10.1016/j.patcog.2024.111037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204933812&doi=10.1016%2Fj.patcog.2024.111037&partnerID=40&md5=1a1f3091edfef62a875e114a8c7fdc83","Article","Final","","Scopus","2-s2.0-85204933812"
"Cheng, Y.; Guo, C.; Yang, B.; Yu, H.; Zhao, K.; Jensen, C.S.","Cheng, Yunyao (58033792300); Guo, Chenjuan (55568451900); Yang, Bin (55584795026); Yu, Haomin (57200240079); Zhao, Kai (57477609900); Jensen, Christian S. (35453638700)","58033792300; 55568451900; 55584795026; 57200240079; 57477609900; 35453638700","A Memory Guided Transformer for Time Series Forecasting","2025","Proceedings of the VLDB Endowment","18","2","","239","252","3","10.14778/3705829.3705842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000005823&doi=10.14778%2F3705829.3705842&partnerID=40&md5=211dad02308f2ef4ae57ee4918fa2e64","Conference paper","Final","","Scopus","2-s2.0-86000005823"
"Gao, W.; Xu, Z.; Li, J.; Liu, L.; Liu, J.; Le, T.D.; Cheng, D.; Zhao, Y.; Chen, Y.","Gao, Wentao (58773949600); Xu, Ziqi (57446009500); Li, Jiuyong (57193306418); Liu, Lin (57194036395); Liu, Jixue (8416110900); Le, Thuc D. (55601341000); Cheng, De Bo (56449995700); Zhao, Yanchang (8297765400); Chen, Yun (55721092200)","58773949600; 57446009500; 57193306418; 57194036395; 8416110900; 55601341000; 56449995700; 8297765400; 55721092200","TSI: A Multi-view Representation Learning Approach for Time Series Forecasting","2025","Lecture Notes in Computer Science","15442 LNAI","","","291","302","0","10.1007/978-981-96-0348-0_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210809669&doi=10.1007%2F978-981-96-0348-0_21&partnerID=40&md5=7dc55babdfb84705c17fadd2a517cf6d","Conference paper","Final","","Scopus","2-s2.0-85210809669"
"Feng, X.; Li, H.; Yang, Y.","Feng, Xing (59414048000); Li, Hongru (55707705400); Yang, Yinghua (16178354900)","59414048000; 55707705400; 16178354900","Time-lagged relation graph neural network for multivariate time series forecasting","2025","Engineering Applications of Artificial Intelligence","139","","109530","","","3","10.1016/j.engappai.2024.109530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209346222&doi=10.1016%2Fj.engappai.2024.109530&partnerID=40&md5=68e8055b578156412a413e8228635386","Article","Final","","Scopus","2-s2.0-85209346222"
"Xiao, G.; B.; Chen, Y.; Yang, W.","Xiao, Guoqing (57202772869); Chen, Yuedan (57194780867); Yang, Wangdong (25624114800)","57202772869; 60226680100; 57194780867; 25624114800","Mitigating Channel Redundancy for Multivariate Time Series Forecasting","2025","","","","","","","0","10.1109/IJCNN64981.2025.11228045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023983633&doi=10.1109%2FIJCNN64981.2025.11228045&partnerID=40&md5=816753983c4cdaad9fc50136d47d55d4","Conference paper","Final","","Scopus","2-s2.0-105023983633"
"Chen, B.; Li, Y.; Li, R.; Wu, W.; Shi, M.; Tan, B.","Chen, Bolin (60027588700); Li, Yi (55900070500); Li, Rui (59101980400); Wu, Wenyuan (55707497000); Shi, Mingquan (55647216100); Tan, Bin (60027702700)","60027588700; 55900070500; 59101980400; 55707497000; 55647216100; 60027702700","TravelNet: A Recursive Decomposition-Based Time Series Forecasting Framework for Bus Travel Time Estimation","2025","","","","","","","0","10.1109/IJCNN64981.2025.11228543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023979569&doi=10.1109%2FIJCNN64981.2025.11228543&partnerID=40&md5=4b78d539acf7165ad2e8adf71d18e904","Conference paper","Final","","Scopus","2-s2.0-105023979569"
"Mortazavi, S.K.; Ahmad, H.A.; Hamed, M.; Kyandoghere, K.","Mortazavi, Seyyed Kasra (59515659900); Ahmad, Hussein (59515659800); Hamed, Mahmoud (59514885100); Kyandoghere, Kyamakya (15822176300)","59515659900; 59515659800; 59514885100; 15822176300","A Hybrid BERT-ELM Framework for Robust Time Series Forecasting of Solar Energy Generation in EU Renewable Power Plants","2025","WSEAS Transactions on Power Systems","20","","","316","335","0","10.37394/232016.2025.20.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023966569&doi=10.37394%2F232016.2025.20.25&partnerID=40&md5=e889196017fa0c503995698e09e4ee64","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023966569"
"Benechehab, A.; Feofanov, V.; Paolo, G.; Thomas, A.; Filippone, M.; Ḱegl, B.","Benechehab, Abdelhakim (58666611400); Feofanov, Vasilii (57218924379); Paolo, Giuseppe (57200628971); Thomas, Albert (57207778137); Filippone, Maurizio (23090574100); Ḱegl, Balàzs (6603766794)","58666611400; 57218924379; 57200628971; 57207778137; 23090574100; 6603766794","AdaPTS: Adapting Univariate Foundation Models to Probabilistic Multivariate Time Series Forecasting","2025","Proceedings of Machine Learning Research","267","","","3731","3748","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023575804&partnerID=40&md5=40e18f0da500b83ecf21e9341d7fc81a","Conference paper","Final","","Scopus","2-s2.0-105023575804"
"Cheng, L.; Ge, J.; Lv, Q.; Li, T.; Wu, B.","Cheng, Lefan (60207258100); Ge, Jingguo (55435938000); Lv, Quanfeng (59920024900); Li, Tong (59157841600); Wu, Bingzhen (57218865206)","60207258100; 55435938000; 59920024900; 59157841600; 57218865206","Multi-Dimensional Series Forecasting for Multi-Node Microservices: Leveraging Specialized Embedding in LLMs","2025","","","","","80","86","0","10.1109/HPCC67675.2025.00030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022738816&doi=10.1109%2FHPCC67675.2025.00030&partnerID=40&md5=e970f3f18534a7a4b5af4577d97d3177","Conference paper","Final","","Scopus","2-s2.0-105022738816"
"Xu, H.; Shi, Y.; Zhan, Y.; Jin, H.; Ren, Q.; Li, Z.","Xu, Hui (59445630600); Shi, Yangyang (59468807900); Zhan, Yang (60207678800); Jin, Hu (57199472707); Ren, Qianqian (22635518100); Li, Zhijuan (60207539900)","59445630600; 59468807900; 60207678800; 57199472707; 22635518100; 60207539900","FusionBC: Contrastive Graph and Information Bottleneck Fusion Learning for Time Series Forecasting","2025","","","","","162","169","0","10.1109/HPCC67675.2025.00040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022736610&doi=10.1109%2FHPCC67675.2025.00040&partnerID=40&md5=69e52a04dd3500c808a0ea77d003e345","Conference paper","Final","","Scopus","2-s2.0-105022736610"
"Yue, W.; Liu, Y.; Ying, X.; Xing, B.; Guo, R.; Shi, J.","Yue, Wenzhen (58678776500); Liu, Yong (56046941000); Ying, Xianghua (7004495215); Xing, Bowei (58121794500); Guo, Ruohao (57218364347); Shi, Ji (58971901200)","58678776500; 56046941000; 7004495215; 58121794500; 57218364347; 58971901200","FreEformer: Frequency Enhanced Transformer for Multivariate Time Series Forecasting","2025","IJCAI International Joint Conference on Artificial Intelligence","","","","3606","3614","0","10.24963/ijcai.2025/401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021826289&doi=10.24963%2Fijcai.2025%2F401&partnerID=40&md5=5dc9e0e2369e8be3e09265cb464d4ebf","Conference paper","Final","","Scopus","2-s2.0-105021826289"
"Lei, J.; Zhang, W.; Yang, Q.; Zhang, X.; Tang, H.","Lei, Jierui (59343949700); Zhang, Wenjian (60177697300); Yang, Qingyi (59344105300); Zhang, Xudong (59451206100); Tang, Haina (9840335600)","59343949700; 60177697300; 59344105300; 59451206100; 9840335600","Transformer-PLM Enhanced Multimodal Time Series Forecasting via Decoupled Dual-Temporal Graph Adaptation","2025","IEEE Signal Processing Letters","","","","","","0","10.1109/LSP.2025.3630087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021254283&doi=10.1109%2FLSP.2025.3630087&partnerID=40&md5=651dbf0c1f06bdaf9b44b9c04fc714d7","Article","aip","","Scopus","2-s2.0-105021254283"
"Yan, H.; Chen, D.; Jiang, G.; Wang, B.; Cao, L.; Dong, J.; Yu, Y.","Yan, Han (60194038500); Chen, Dongliang (60193858500); Jiang, Guiyuan (55363574600); Wang, Bin (57214931238); Cao, Lei (56085779300); Dong, Junyu (22634069200); Yu, Yanwei (12763209400)","60194038500; 60193858500; 55363574600; 57214931238; 56085779300; 22634069200; 12763209400","DGraFormer: Dynamic Graph Learning Guided Multi-Scale Transformer for Multivariate Time Series Forecasting","2025","IJCAI International Joint Conference on Artificial Intelligence","","","","3516","3524","0","10.24963/ijcai.2025/391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021188608&doi=10.24963%2Fijcai.2025%2F391&partnerID=40&md5=72ea78ccb73847927bdac235822b4519","Conference paper","Final","","Scopus","2-s2.0-105021188608"
"He, D.; Wang, Y.; Lou, C.; Tan, G.; Xiong, Q.; Sa, G.","He, Dandan (59441108800); Wang, Yueyang (56968260900); Lou, Chaoli (59361506500); Tan, Gang (59440709700); Xiong, Qingyu (7006192918); Sa, Guodong (57205416899)","59441108800; 56968260900; 59361506500; 59440709700; 7006192918; 57205416899","Dynamic graph structure correction with nonadjacent correlations for multivariate time series forecasting","2025","Expert Systems with Applications","","","129768","","","0","10.1016/j.eswa.2025.129768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020768392&doi=10.1016%2Fj.eswa.2025.129768&partnerID=40&md5=6648d7395d8d31e6fe48abb769a6bc08","Article","aip","","Scopus","2-s2.0-105020768392"
"Tao, L.; Liu, R.; Zhou, W.","Tao, Liwen (59721162900); Liu, Ren (60010275900); Zhou, Wen'an (59703422800)","59721162900; 60010275900; 59703422800","Time series forecasting of network traffic with latent domain generalization: Addressing out-of-distribution challenges","2025","Journal of Intelligent Information Systems","","","","","","0","10.1007/s10844-025-01001-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019593064&doi=10.1007%2Fs10844-025-01001-y&partnerID=40&md5=1709837cfd57c9cb78c17c3168c1bebd","Article","aip","","Scopus","2-s2.0-105019593064"
"Xu, R.; Lian, D.","Xu, Rui (55731062000); Lian, Defu (54403324000)","55731062000; 54403324000","Decomposing masked time series model: a self-supervised time-series forecasting framework","2025","Proceedings of SPIE - The International Society for Optical Engineering","13692","","136924L","","","0","10.1117/12.3068730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014278378&doi=10.1117%2F12.3068730&partnerID=40&md5=2f8a52c003d63d390a05dfa89b74739c","Conference paper","Final","","Scopus","2-s2.0-105014278378"
"Li, R.; Shi, D.; Xiao, Y.; Gao, J.","Li, Ruikun (58298728700); Shi, Dai (57219492673); Xiao, Ye (58097855000); Gao, Junbin (58702797200)","58298728700; 57219492673; 58097855000; 58702797200","UFGTime: Mining Intertwined Dependencies in Multivariate Time Series via an Efficient Pure Graph Approach","2025","Proceedings of the VLDB Endowment","18","","","3175","3188","0","10.14778/3746405.3746436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014241417&doi=10.14778%2F3746405.3746436&partnerID=40&md5=16154dc82eabd2aea2800882518b00be","Conference paper","Final","","Scopus","2-s2.0-105014241417"
"Zhou, C.; Wang, Y.; Ma, J.; Jin, Q.","Zhou, Chengjie (60055948100); Wang, Yufeng (8777845900); Ma, Jianhua (8700280300); Jin, Qun (59642985900)","60055948100; 8777845900; 8700280300; 59642985900","STCA-LLM: Spatial–Temporal Cross-Attention Large Language Model for Wind Speed Forecasting","2025","IEEE Internet of Things Journal","12","21","","45411","45422","1","10.1109/JIOT.2025.3599836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013742239&doi=10.1109%2FJIOT.2025.3599836&partnerID=40&md5=13466a2d529cf51123df30fa7ef3ab40","Article","Final","","Scopus","2-s2.0-105013742239"
"Zhai, J.; Kan, Z.","Zhai, Jiyuan (60051004100); Kan, Zhongliang (8591485200)","60051004100; 8591485200","MORL: A Multi-Objective Representation Learning Modeling for Time Series Forecasting","2025","","","","","1214","1218","0","10.1109/ICSP65755.2025.11086755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013466915&doi=10.1109%2FICSP65755.2025.11086755&partnerID=40&md5=f5abd2ea42f63bc38167414154234860","Conference paper","Final","","Scopus","2-s2.0-105013466915"
"Wu, Y.; Meng, X.; Zhang, J.; Dong, Y.; Lu, D.","Wu, Yuhan (57215218964); Meng, Xiyu (57565512100); Zhang, Junru (58571355900); Dong, Yabo (8953365700); Lu, Dongming (7403079467)","57215218964; 57565512100; 58571355900; 8953365700; 7403079467","Semi4TSF: End-to-End Semi-Supervised Contrastive Representation Learning for Time Series Forecasting","2025","IEEE Transactions on Industrial Informatics","21","11","","8791","8801","1","10.1109/TII.2025.3588582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012450675&doi=10.1109%2FTII.2025.3588582&partnerID=40&md5=4a7da44779cd6da306a64f34a9b7edbb","Article","Final","","Scopus","2-s2.0-105012450675"
"Lu, C.; Jin, Y.; Zhang, Z.; Peng, X.; Chen, J.","Lu, Cunzhuo (60028048900); Jin, Yeheng (60027688200); Zhang, Ziwei (60027688300); Peng, Xiangyu (60028290700); Chen, Jing (60027575600)","60028048900; 60027688200; 60027688300; 60028290700; 60027575600","Shareformer: A Patch Transformer Model with Shared Attention for Multivariate Time Series Forecasting","2025","Lecture Notes in Computer Science","15848 LNCS","","","317","328","0","10.1007/978-981-96-9875-2_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012424118&doi=10.1007%2F978-981-96-9875-2_27&partnerID=40&md5=4b6af3214762de46d94046c3550f70e4","Conference paper","Final","","Scopus","2-s2.0-105012424118"
"Yang, X.; Zhao, Y.; Zhang, Z.","Yang, Xian (59164982200); Zhao, Yahui (36835985500); Zhang, Zhenguo (55721875300)","59164982200; 36835985500; 55721875300","CRGNet: Learning Causal Relationships for Multivariate Time Series Forecasting","2025","Lecture Notes in Computer Science","15861 LNCS","","","174","186","0","10.1007/978-981-96-9818-9_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012095778&doi=10.1007%2F978-981-96-9818-9_15&partnerID=40&md5=00da236af0311bb559ec6b80794150ee","Conference paper","Final","","Scopus","2-s2.0-105012095778"
"Onur Cakiroglu, M.; Kurban, H.; Buxton, E.; Dalkılıç, M.","Onur Cakiroglu, Mert (60017453100); Kurban, Hasan (56375007000); Buxton, Elham Khorasani (57203456082); Dalkılıç, Mehmet M. (8876125600)","60017453100; 56375007000; 57203456082; 8876125600","A Novel Discrete Time Series Representation With De Bruijn Graphs for Enhanced Forecasting Using TimesNet","2025","IEEE Access","13","","","123182","123198","0","10.1109/ACCESS.2025.3588507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010877583&doi=10.1109%2FACCESS.2025.3588507&partnerID=40&md5=8c80b556522ab0bad6878da094e32a55","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105010877583"
"Huang, S.; Zhao, Z.; Li, C.; Bai, L.","Huang, Songtao (58076957600); Zhao, Zhen (57219437117); Li, Can (57217015380); Bai, Lei (57207771454)","58076957600; 57219437117; 57217015380; 57207771454","TIMEKAN: KAN-BASED FREQUENCY DECOMPOSITION LEARNING ARCHITECTURE FOR LONG-TERM TIME SERIES FORECASTING","2025","","","","","93540","93555","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010236990&partnerID=40&md5=5f9d78dc17b6949191f23419a4d3e210","Conference paper","Final","","Scopus","2-s2.0-105010236990"
"Wang, C.; Zhao, Y.; Cai, S.; Tan, G.","Wang, Chengxin (57212008796); Zhao, Yiran (58741083600); Cai, Shaofeng (57204779997); Tan, Soon Huat (7202393240)","57212008796; 58741083600; 57204779997; 7202393240","INVESTIGATING PATTERN NEURONS IN URBAN TIME SERIES FORECASTING","2025","","","","","18037","18054","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010229293&partnerID=40&md5=e5eb4fd3da93424c8bb52dcb07a9a242","Conference paper","Final","","Scopus","2-s2.0-105010229293"
"Miao, L.; Chen, Y.; Wang, J.; Zhan, C.; Zhao, X.","Miao, Lingfeng (58040171400); Chen, Yufan (57914637600); Wang, Jiawei (59984634000); Zhan, Choujun (55180932300); Zhao, Xuejiao (58834449900)","58040171400; 57914637600; 59984634000; 55180932300; 58834449900","A Graph SIR Network Based on Dynamic Graph Structures and Residual Learning for Epidemic Prediction","2025","IEEE Transactions on Consumer Electronics","71","3","","9185","9187","0","10.1109/TCE.2025.3587036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010196097&doi=10.1109%2FTCE.2025.3587036&partnerID=40&md5=b91ebb5210d2f8fa2c6b5b75c0271f38","Article","Final","","Scopus","2-s2.0-105010196097"
"Zhang, B.; Murshed, M.; Cheng, Z.; Luo, W.","Zhang, Bochao (57221203369); Murshed, Manzur M. (6604064650); Cheng, Zhi (59976008500); Luo, Wei (57218392471)","57221203369; 6604064650; 59976008500; 57218392471","A Survey on Neural Ordinary Differential Equations","2025","Lecture Notes in Computer Science","15873 LNAI","","","362","380","1","10.1007/978-981-96-8183-9_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009783378&doi=10.1007%2F978-981-96-8183-9_27&partnerID=40&md5=df5f7165c6964d6872c7766932479ebf","Conference paper","Final","","Scopus","2-s2.0-105009783378"
"Kumari, J.; Mondal, A.; Mathew, J.","Kumari, Jyoti (52663776400); Mondal, Arijit (57203008662); Mathew, Jimson (21834193800)","52663776400; 57203008662; 21834193800","Fourier-driven Lightweight Token Mixing Model for Efficient Time Series Forecasting","2025","IEEE Transactions on Artificial Intelligence","","","","","","1","10.1109/TAI.2025.3584693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009615555&doi=10.1109%2FTAI.2025.3584693&partnerID=40&md5=601d1b6d30228349febc1fda8d4ebd34","Article","aip","","Scopus","2-s2.0-105009615555"
"Xu, H.; Yi, C.; Zhu, H.; Wei, B.; Chen, Y.; Jiang, F.","Xu, Haoxuan (59972255000); Yi, Chun Zhi (57202378236); Zhu, Haiqi (57022581900); Wei, Baichun (57219523090); Chen, Yifan (59072504100); Jiang, Feng (56681657800)","59972255000; 57202378236; 57022581900; 57219523090; 59072504100; 56681657800","EGENN: An Efficient Graph-Enhanced Neural Network for Multivariate Time Series Forecasting","2025","Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing","","","","","","0","10.1109/ICASSP49660.2025.10890196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009593728&doi=10.1109%2FICASSP49660.2025.10890196&partnerID=40&md5=c3c32b2c64dd2a944c410a58b11b735f","Conference paper","Final","","Scopus","2-s2.0-105009593728"
"Rahmani, M.; Crumeyrolle, S.; Martiny, N.; Rouvoy, R.","Rahmani, Maryam (59256013000); Crumeyrolle, Suzanne N. (24343173500); Martiny, Nadège (55957098300); Rouvoy, Romain (23089521900)","59256013000; 24343173500; 55957098300; 23089521900","GT-LSTM: Integrating High-Resolution Particulate Matter Data for Urban Air Quality Forecasting","2025","Lecture Notes in Computer Science","15730 LNCS","","","84","101","0","10.1007/978-3-031-95728-4_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009250633&doi=10.1007%2F978-3-031-95728-4_5&partnerID=40&md5=25b422396312608c7fa6b8d01ff1aa0f","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105009250633"
"Victor, Q.; Clavier, I.; Boisaubert, H.; Picarougne, F.; Lejus-Bourdeau, C.; Sinoquet, C.","Victor, Quentin (59900544300); Clavier, Ianis (59899991500); Boisaubert, Hugo (57208399095); Picarougne, Fabien (8210173500); Lejus-Bourdeau, Corinne (57202704225); Sinoquet, Christine (24391336600)","59900544300; 59899991500; 57208399095; 8210173500; 57202704225; 24391336600","Two-in-One Models for Event Prediction and Time Series Forecasting. Comparison of Four Deep Learning Approaches to Simulate a Digital Patient Under Anesthesia","2025","Lecture Notes in Computer Science","15669 LNCS","","","373","388","0","10.1007/978-3-031-91398-3_28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005289454&doi=10.1007%2F978-3-031-91398-3_28&partnerID=40&md5=d8af61cd910a19b98b64c9a74dbd7034","Conference paper","Final","","Scopus","2-s2.0-105005289454"
"Wan, C.; Xie, C.; Liu, L.; Wu, D.; Li, Y.","Wan, Cheng (57219527760); Xie, Chenjie (58761756700); Liu, Longfei (59161955500); Wu, Dan (55187802900); Li, Ye (57192879224)","57219527760; 58761756700; 59161955500; 55187802900; 57192879224","A Multi-scenario Attention-based Generative Model for Personalized Blood Pressure Time Series Forecasting","2025","Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing","","","","","","1","10.1109/ICASSP49660.2025.10889293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003864009&doi=10.1109%2FICASSP49660.2025.10889293&partnerID=40&md5=7d6c88ec64fc7fd8b378f1966d6b0d3c","Conference paper","Final","","Scopus","2-s2.0-105003864009"
"Ye, R.; Dai, Q.","Ye, Rui (57194017910); Dai, Qun (35315440400)","57194017910; 35315440400","A Data-Level Augmentation Framework for Time Series Forecasting With Ambiguously Related Source Data","2025","IEEE Transactions on Knowledge and Data Engineering","37","7","","3855","3868","1","10.1109/TKDE.2025.3555530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002262374&doi=10.1109%2FTKDE.2025.3555530&partnerID=40&md5=feff6539522036f4307754bafb6150bf","Article","Final","","Scopus","2-s2.0-105002262374"
"Su, Y.; Ma, T.; Rong, H.; Abdelwahab, M.M.A.","Su, Yuming (57558624000); Ma, Tinghuai (18042318100); Rong, Huan (55440504400); Abdelwahab, M. M. (7102582535)","57558624000; 18042318100; 55440504400; 7102582535","Adaptive Graph Structure Learning Neural Rough Differential Equations for Multivariate Time Series Forecasting","2025","IEEE Transactions on Big Data","11","5","","2710","2723","2","10.1109/TBDATA.2025.3552334","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001586108&doi=10.1109%2FTBDATA.2025.3552334&partnerID=40&md5=e99fb9510fff71cbe6cb35991b91de79","Article","Final","","Scopus","2-s2.0-105001586108"
"Chen, D.; Chen, L.; Shang, Z.; Zhang, Y.; Wen, B.; Yang, C.","Chen, Donghui (57201348121); Chen, Ling (57193157981); Shang, Zongjiang (57210798114); Zhang, Youdong (60009336300); Wen, Bo (57222423534); Yang, Chenghu (57222424898)","57201348121; 57193157981; 57210798114; 60009336300; 57222423534; 57222424898","Scale-Aware Neural Architecture Search for Multivariate Time Series Forecasting","2024","ACM Transactions on Knowledge Discovery from Data","19","1","11","","","4","10.1145/3701038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211281824&doi=10.1145%2F3701038&partnerID=40&md5=8da6db34be0a4de359ec0db4b2a2426a","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85211281824"
"Dai, R.; Wang, Z.; Wang, W.; Jie, J.; Chen, J.; Ye, Q.","Dai, Rui (58190302500); Wang, Zheng (58744157300); Wang, Wanliang (35790696300); Jie, Jing (23009041400); Chen, Jiacheng (57559438200); Ye, Qianlin (58498564200)","58190302500; 58744157300; 35790696300; 23009041400; 57559438200; 58498564200","VTNet: A multi-domain information fusion model for long-term multi-variate time series forecasting with application in irrigation water level","2024","Applied Soft Computing","167","","112251","","","5","10.1016/j.asoc.2024.112251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204384613&doi=10.1016%2Fj.asoc.2024.112251&partnerID=40&md5=bf32b88d569fa6f1632e968254522760","Article","Final","","Scopus","2-s2.0-85204384613"
"Wang, X.; Xing, Q.; Xiao, H.; Ye, M.","Wang, Xinghao (58803454900); Xing, Qiang (58803454800); Xiao, Huimin (58803543600); Ye, Ming (35729872200)","58803454900; 58803454800; 58803543600; 35729872200","Contrastive learning enhanced by graph neural networks for Universal Multivariate Time Series Representation","2024","Information Systems","125","","102429","","","2","10.1016/j.is.2024.102429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199695214&doi=10.1016%2Fj.is.2024.102429&partnerID=40&md5=ace325b6fb5c9424f91cac269208f936","Article","Final","","Scopus","2-s2.0-85199695214"
"Gui, Y.; Zhu, B.; Chen, J.; Ngo, C.W.; Jiang, Y.-G.","Gui, Yinxuan (59302332100); Zhu, Bin (57199801239); Chen, Jingjing (55613576900); Ngo, Chong Wah (7005184304); Jiang, Yugang (14054081900)","59302332100; 57199801239; 55613576900; 7005184304; 14054081900","Navigating Weight Prediction with Diet Diary","2024","","","","","127","136","3","10.1145/3664647.3680977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209825200&doi=10.1145%2F3664647.3680977&partnerID=40&md5=94ca33158f9619130cb55cc61d299c06","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85209825200"
"Yi, P.; Huang, F.; Peng, J.; Bao, Z.","Yi, Peiyu (57209806420); Huang, Feihu (56362636600); Peng, Jian (55712856500); Bao, Zhifeng (23388282400)","57209806420; 56362636600; 55712856500; 23388282400","Dynamic Spatial-Temporal Embedding via Neural Conditional Random Field for Multivariate Time Series Forecasting","2024","ACM Transactions on Spatial Algorithms and Systems","10","4","35","","","0","10.1145/3675165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207897242&doi=10.1145%2F3675165&partnerID=40&md5=5823248924f91a4f794706a2beb48b98","Article","Final","","Scopus","2-s2.0-85207897242"
